ENCODEURL|dZjWi|SC_OPCODE_ENCODEURL|Return a URL-encoded string.|avFqs|HID_FUNC_ENCODEURL||
T.DIST.RT|zZece|SC_OPCODE_T_DIST_RT|Returns the right-tailed t-distribution.|3ST2h|HID_FUNC_TDIST_RT|Calculates the right-tailed Student's T Distribution, which is a continuous probability distribution that is frequently used for testing hypotheses on small sample data sets.|
T.DIST|5GtXF|SC_OPCODE_T_DIST_MS|Returns the t-distribution.|5pXUh|HID_FUNC_TDIST_MS|Returns the t-distribution.|
T.DIST.2T|boheL|SC_OPCODE_T_DIST_2T|Returns the two-tailed t-distribution.|VBAfz|HID_FUNC_TDIST_2T|Calculates the two-tailed Student's T Distribution, which is a continuous probability distribution that is frequently used for testing hypotheses on small sample data sets.|
TDIST|DYe9i|SC_OPCODE_T_DIST|Returns the t-distribution.|DkT3z|HID_FUNC_TVERT|Returns the t-distribution.|
LOGNORM.DIST|BCSQW|SC_OPCODE_LOG_NORM_DIST_MS|Values of the log normal distribution.|reByF|HID_FUNC_LOGNORMDIST_MS||
LOGNORMDIST|ZQeXb|SC_OPCODE_LOG_NORM_DIST|Values of the log normal distribution.|a8hLf|HID_FUNC_LOGNORMVERT|Returns the values of a lognormal distribution.|
HYPGEOM.DIST|5YjEL|SC_OPCODE_HYP_GEOM_DIST_MS|Values of the hypergeometric distribution.|Ffnd2|HID_FUNC_HYP_GEOM_DIST_MS|Returns the hypergeometric distribution.|
HYPGEOMDIST|q9nkE|SC_OPCODE_HYP_GEOM_DIST|Values of the hypergeometric distribution.|74FiH|HID_FUNC_HYPGEOMVERT|Returns the hypergeometric distribution.|
MUNIT|CmuPA|SC_OPCODE_MATRIX_UNIT|Returns the unitary square array of a certain size.|yBH2y|HID_FUNC_EINHEITSMATRIX|Returns the unitary square array of a certain size. The unitary array is a square array where the main diagonal elements equal 1 and all other array elements are equal to 0.|
TRANSPOSE|WEXyE|SC_OPCODE_MAT_TRANS|Array transposition. Exchanges the rows and columns of an array.|FEdzL|HID_FUNC_MTRANS|Transposes the rows and columns of an array.|
MMULT|3BpDd|SC_OPCODE_MAT_MULT|Array multiplication. Returns the product of two arrays.|sJ2Rz|HID_FUNC_MMULT|Calculates the array product of two arrays. The number of columns for array 1 must match the number of rows for array 2. The square array has an equal number of rows and columns.|
MINVERSE|V3oqd|SC_OPCODE_MAT_INV|Returns the inverse of an array.|Bcdkv|HID_FUNC_MINV|Returns the inverse array.|
MDETERM|QULda|SC_OPCODE_MAT_DET|Returns the array determinant.|xyDL6|HID_FUNC_MDET|Returns the array determinant of an array. This function returns a value in the current cell; it is not necessary to define a range for the results.|
CONCATENATE|5ftuZ|SC_OPCODE_CONCAT|Combines several text items into one.|LgyBU|HID_FUNC_VERKETTEN|Combines several text strings into one string.|
REPT|gRSvi|SC_OPCODE_REPT|Repeats text a given number of times.|9wkCa|HID_FUNC_WIEDERHOLEN|Repeats a character string by the given number of copies.|
SUBSTITUTE|yADs4|SC_OPCODE_SUBSTITUTE|Substitutes new text for old text in a string.|GCte9|HID_FUNC_WECHSELN|Substitutes new text for old text in a string.|
TEXT|Cwg44|SC_OPCODE_TEXT|Converts a number to text according to a given format.|hkF8R|HID_FUNC_TEXT|Converts a number into text according to a given format.|
MIDB|famca|SC_OPCODE_MIDB|Returns a partial text string of a text, with DBCS|B5Zd5|HID_FUNC_MIDB|Returns a text string of a DBCS text. The parameters specify the starting position and the number of characters.|
LEFTB|4fGGk|SC_OPCODE_LEFTB|Returns the first character or characters of a text,with DBCS|2MsGE|HID_FUNC_LEFTB|Returns the first characters of a DBCS text.|
RIGHTB|PAerG|SC_OPCODE_RIGHTB|Returns the last character or characters of a text,with DBCS|muihV|HID_FUNC_RIGHTB|Returns the last character or characters of a text with double bytes characters sets (DBCS).|
LENB|BBhrF|SC_OPCODE_LENB|Calculates length of a text string, with DBCS|fJDAK|HID_FUNC_LENB|For double-byte character set (DBCS) languages, returns the number of bytes used to represent the characters in a text string.|
MID|ZSgHu|SC_OPCODE_MID|Returns a partial text string of a text.|R9d5z|HID_FUNC_TEIL|Returns a text string of a text. The parameters specify the starting position and the number of characters.|
SEARCH|eG5FV|SC_OPCODE_SEARCH|Looks for one text value within another (not case-sensitive).|waAuu|HID_FUNC_SUCHEN|Returns the position of a text segment within a character string. You can set the start of the search as an option. The search text can be a number or any sequence of characters. The search is not case-sensitive.|
RIGHT|KULx8|SC_OPCODE_RIGHT|Returns the last character or characters of a text.|k4VGj|HID_FUNC_RECHTS|Returns the last character or characters of a text.|
LEFT|XfC9C|SC_OPCODE_LEFT|Returns the first character or characters of a text.|DGXpY|HID_FUNC_LINKS|Returns the first character or characters of a text.|
EXACT|B4ABV|SC_OPCODE_EXACT|Specifies whether two texts are identical.|bVKb7|HID_FUNC_IDENTISCH|Compares two text strings and returns TRUE if they are identical. This function is case-sensitive.|
FIND|vXgZT|SC_OPCODE_FIND|Looks for a string of text within another (case sensitive)|E4kAw|HID_FUNC_FINDEN|Looks for a string of text within another string. You can also define where to begin the search. The search term can be a number or any string of characters. The search is case-sensitive.|
FIXED|xk7yW|SC_OPCODE_FIXED|Formats a number with a fixed number of places after the decimal point and thousands separator.|GvxKV|HID_FUNC_FEST|Returns a number as text with a specified number of decimal places and optional thousands separators.|
REPLACE|ZkQVD|SC_OPCODE_REPLACE|Replaces characters within a text string with a different text string.|Qf6pQ|HID_FUNC_ERSETZEN|Replaces part of a text string with a different text string. This function can be used to replace both characters and numbers (which are automatically converted to text). The result of the function is always displayed as text. If you intend to perform further calculations with a number which has been replaced by text, you will need to convert it back to a number using the VALUE function.Any text containing numbers must be enclosed in quotation marks if you do not want it to be interpreted as a number and automatically converted to text.|
DOLLAR|ePTF3|SC_OPCODE_CURRENCY|Converts a number to text in currency format.|DWHUQ|HID_FUNC_DM|Converts a number to an amount in the currency format, rounded to a specified decimal place. In the Value field enter the number to be converted to currency. Optionally, you may enter the number of decimal places in the Decimals field. If no value is specified, all numbers in currency format will be displayed with two decimal places. You set the currency format in your system settings.|
AREAS|YhR7e|SC_OPCODE_AREAS|Returns the number of individual ranges that belong to a (multiple) range.|h58Fm|HID_FUNC_BEREICHE|Returns the number of individual ranges that belong to a multiple range. A range can consist of contiguous cells or a single cell.The function expects a single argument. If you state multiple ranges, you must enclose them into additional parentheses. Multiple ranges can be entered using the semicolon (;) as divider, but this gets automatically converted to the tilde (~) operator. The tilde is used to join ranges.|
INDEX|BUBxc|SC_OPCODE_INDEX|Returns a reference to a cell from a defined range.|8f5Lt|HID_FUNC_INDEX|INDEX returns a sub range, specified by row and column number, or an optional range index. Depending on context, INDEX returns a reference or content.UFI: will change with i4904; see http://so-web.germany.sun.com/iBIS/servlet/edit.ControlPanel?tid=i57108changed by i83070|
OFFSET|8oFWP|SC_OPCODE_OFFSET|Returns a reference which has been moved in relation to the starting point.|V2MpB|HID_FUNC_VERSCHIEBUNG|Returns the value of a cell offset by a certain number of rows and columns from a given reference point.|
HLOOKUP|7vEBg|SC_OPCODE_H_LOOKUP|Horizontal search and reference to the cells located below.|VSPJT|HID_FUNC_WVERWEIS|Searches for a value and reference to the cells below the selected area. This function verifies if the first row of an array contains a certain value. The function returns then the value in a row of the array, named in the Index, in the same column.|
VLOOKUP|AMu42|SC_OPCODE_V_LOOKUP|Vertical search and reference to indicated cells.|f449R|HID_FUNC_SVERWEIS|Vertical search with reference to adjacent cells to the right. This function checks if a specific value is contained in the first column of an array. The function then returns the value in the same row of the column named by Index. If the SortOrder parameter is omitted or set to TRUE or one, it is assumed that the data is sorted in ascending order. In this case, if the exact SearchCriterion is not found, the last value that is smaller than the criterion will be returned. If SortOrder is set to FALSE or zero, an exact match must be found, otherwise the error Error: Value Not Available will be the result. Thus with a value of zero the data does not need to be sorted in ascending order.|
LOOKUP|2DZCh|SC_OPCODE_LOOKUP|Determines a value in a vector by comparison to values in another vector.|jfZwG|HID_FUNC_VERWEIS|Returns the contents of a cell either from a one-row or one-column range. Optionally, the assigned value (of the same index) is returned in a different column and row. As opposed to VLOOKUP and HLOOKUP, search and result vector may be at different positions; they do not have to be adjacent. Additionally, the search vector for the LOOKUP must be sorted ascending, otherwise the search will not return any usable results.If LOOKUP cannot find the search criterion, it matches the largest value in the search vector that is less than or equal to the search criterion.|
COUNTIFS|eHJDE|SC_OPCODE_COUNT_IFS|Counts the cells that meet multiple criteria in multiple ranges.|W7o26|HID_FUNC_COUNTIFS||
AVERAGEIFS|JABWu|SC_OPCODE_AVERAGE_IFS|Averages the value of the cells that meet multiple criteria in multiple ranges.|3rhYN|HID_FUNC_AVERAGEIFS||
SUMIFS|CQceM|SC_OPCODE_SUM_IFS|Totals the values of cells in a range that meet multiple criteria in multiple ranges.|Aw8Vc|HID_FUNC_SUMIFS||
AVERAGEIF|V4LQj|SC_OPCODE_AVERAGE_IF|Averages the arguments that meet the conditions.|ENXTB|HID_FUNC_AVERAGEIF||
SUMIF|uETrv|SC_OPCODE_SUM_IF|Totals the arguments that meet the conditions.|bvEru|HID_FUNC_SUMMEWENN|Adds the cells specified by a given criteria. This function is used to browse a range when you search for a certain value.|
COUNTIF|vhSDg|SC_OPCODE_COUNT_IF|Counts the arguments which meet the set conditions.|nR8BU|HID_FUNC_ZAEHLENWENN|Returns the number of cells that meet with certain criteria within a cell range.|
COUNTBLANK|WJeYc|SC_OPCODE_COUNT_EMPTY_CELLS|Counts the blank cells in a specified range.|7FBSg|HID_FUNC_ANZAHLLEEREZELLEN|Returns the number of empty cells.|
MATCH|Uhabt|SC_OPCODE_MATCH|Defines a position in a array after comparing values.|MtPzx|HID_FUNC_VERGLEICH|Returns the relative position of an item in an array that matches a specified value. The function returns the position of the value found in the lookup_array as a number.|
ADDRESS|Dv9Va|SC_OPCODE_ADDRESS|Returns the reference to a cell as text.|P3ACF|HID_FUNC_ADRESSE|Returns a cell address (reference) as text, according to the specified row and column numbers. You can determine whether the address is interpreted as an absolute address (for example, $A$1) or as a relative address (as A1) or in a mixed form (A$1 or $A1). You can also specify the name of the sheet.For interoperability the ADDRESS and INDIRECT functions support an optional parameter to specify whether the R1C1 address notation instead of the usual A1 notation should be used.In ADDRESS, the parameter is inserted as the fourth parameter, shifting the optional sheet name parameter to the fifth position.In INDIRECT, the parameter is appended as the second parameter.|
INDIRECT|FVZhG|SC_OPCODE_INDIRECT|Returns the contents of a cell that is referenced in text form.|oG2ao|HID_FUNC_INDIREKT|Returns the reference specified by a text string. This function can also be used to return the area of a corresponding string.|
DVARP|DSrRy|SC_OPCODE_DB_VAR_P|Determines variance of a population based on all cells in a data range where contents match the search criteria.|waGkD|HID_FUNC_DBVARIANZEN|DVARP calculates the variance of all cell values in a database field in all records that match the specified search criteria. The records are from the example are treated as an entire population.|
DVAR|gDAC9|SC_OPCODE_DB_VAR|Determines the variance of all the cells in a data range where the contents match the search criteria.|Sb7GE|HID_FUNC_DBVARIANZ|DVAR returns the variance of all cells of a database field in all records that match the specified search criteria. The records from the example are treated as a sample of data. A representative result cannot be obtained from a sample population of less than one thousand.|
DSTDEVP|B5Asm|SC_OPCODE_DB_STD_DEV_P|Returns the standard deviation with regards to the population of all cells of a data range matching the search criteria.|Lso9G|HID_FUNC_DBSTDABWN|DSTDEVP calculates the standard deviation of a population based on all cells of a data range which match the search criteria. The records from the example are treated as the whole population.|
DSTDEV|GkFgg|SC_OPCODE_DB_STD_DEV|Calculates the standard deviation of all cells in a data range whose contents match the search criteria.|GsfN3|HID_FUNC_DBSTDABW|DSTDEV calculates the standard deviation of a population based on a sample, using the numbers in a database column that match the given conditions. The records are treated as a sample of data. That means that the children in the example represent a cross section of all children. Note that a representative result can not be obtained from a sample of less than one thousand.|
DPRODUCT|wNEKA|SC_OPCODE_DB_PRODUCT|Multiplies all cells of a data range where the contents match the search criteria.|xoQcY|HID_FUNC_DBPRODUKT|DPRODUCT multiplies all cells of a data range where the cell contents match the search criteria.|
DMIN|D2cmF|SC_OPCODE_DB_MIN|Returns the minimum of all cells of a data range where the contents correspond to the search criteria.|Yre9V|HID_FUNC_DBMIN|DMIN returns the minimum content of a cell (field) in a database that matches the specified search criteria.|
DMAX|vwF4A|SC_OPCODE_DB_MAX|Returns the maximum value from all of the cells of a data range which correspond to the search criteria.|RBaed|HID_FUNC_DBMAX|DMAX returns the maximum content of a cell (field) in a database (all records) that matches the specified search conditions.|
DGET|MiUzt|SC_OPCODE_DB_GET|Defines the contents of the cell of a data range which matches the search criteria.|6TEYK|HID_FUNC_DBAUSZUG|DGET returns the contents of the referenced cell in a database which matches the specified search criteria. In case of an error, the function returns either #VALUE! for no row found, or Err502 for more than one cell found.|
DAVERAGE|sFv2D|SC_OPCODE_DB_AVERAGE|Returns the average value of all the cells of a data range whose contents match the search criteria.|NbPgQ|HID_FUNC_DBMITTELWERT|DAVERAGE returns the average of the values of all cells (fields) in all rows (database records) that match the specified search criteria.|
DCOUNTA|pbuDP|SC_OPCODE_DB_COUNT_2|Counts all non-blank cells of a data range where the content corresponds to the search criteria.|cDBru|HID_FUNC_DBANZAHL2|DCOUNTA counts the number of rows (records) in a database that match the specified search conditions, and contain numeric or alphanumeric values.|
DCOUNT|Ki73f|SC_OPCODE_DB_COUNT|Counts the cells of a data range whose contents match the search criteria.|VsGEd|HID_FUNC_DBANZAHL|DCOUNT counts the number of rows (records) in a database that match the specified search criteria and contain numerical values.|
DSUM|JMnY3|SC_OPCODE_DB_SUM|Adds all the cells of a data range where the contents match the search criteria.|2tqZB|HID_FUNC_DBSUMME|DSUM returns the total of all cells in a database field in all rows (records) that match the specified search criteria.|
SUBTOTAL|3BoZA|SC_OPCODE_SUB_TOTAL|Calculates subtotals in a spreadsheet.|j8BaA|HID_FUNC_TEILERGEBNIS|Calculates subtotals. If a range already contains subtotals, these are not used for further calculations. Use this function with the AutoFilters to take only the filtered records into account.|
NOMINAL|GjP3E|SC_OPCODE_NOMINAL|Calculates the yearly nominal interest rate as an effective interest rate.|XXBjt|HID_FUNC_NOMINAL|Calculates the yearly nominal interest rate, given the effective rate and the number of compounding periods per year.|
EFFECTIVE|gVp6j|SC_OPCODE_EFFECTIVE|Calculates the annual net interest rate for a nominal interest rate.|CVX9Y|HID_FUNC_EFFEKTIV|Returns the net annual interest rate for a nominal interest rate.Nominal interest refers to the amount of interest due at the end of a calculation period. Effective interest increases with the number of payments made. In other words, interest is often paid in installments (for example, monthly or quarterly) before the end of the calculation period.|
CUMPRINC|JMDEG|SC_OPCODE_CUM_PRINC|Cumulative Capital. Calculates the total amount of the repayment share in a period for an investment with constant interest rate.|9YG2f|HID_FUNC_KUMKAPITAL|Returns the cumulative interest paid for an investment period with a constant interest rate.|
CUMIPMT|jqESM|SC_OPCODE_CUM_IPMT|Cumulative compounded interest. Calculates the total amount of the interest share in a period for an investment with a constant interest rate.|Mr8oq|HID_FUNC_KUMZINSZ|Calculates the cumulative interest payments, that is, the total interest, for an investment based on a constant interest rate.|
PPMT|nxR36|SC_OPCODE_PPMT|Repayment. Calculates the repayment amount for a period for an investment whereby the payments are at regular intervals and the interest rate constant.|h9ucW|HID_FUNC_KAPZ|Returns for a given period the payment on the principal for an investment that is based on periodic and constant payments and a constant interest rate.|
IPMT|fCURS|SC_OPCODE_IPMT|Compounded interest. Calculates the interest payment on the principal for an investment with regular payments and a constant interest rate for a given period.|SGA4a|HID_FUNC_ZINSZ|Calculates the periodic amortizement for an investment with regular payments and a constant interest rate.|
RATE|YSzrF|SC_OPCODE_RATE|Calculates the constant interest rate of an investment with regular payments.|2FvSc|HID_FUNC_ZINS|Returns the constant interest rate per period of an annuity.|
NPER|nFCKq|SC_OPCODE_NPER|Payment period. Calculates the number of payment periods for an investment based on regular payments and a constant interest rate.|5kpNF|HID_FUNC_ZZR|Returns the number of periods for an investment based on periodic, constant payments and a constant interest rate.|
FV|aUTgn|SC_OPCODE_FV|Future value. Returns the future value of an investment based on regular payments and a constant interest rate.|VqcWE|HID_FUNC_ZW|Returns the future value of an investment based on periodic, constant payments and a constant interest rate (Future Value).|
RRI|R8STw|SC_OPCODE_RRI|Interest. Calculates the interest rate which represents the rate of return from an investment.|79LDX|HID_FUNC_ZGZ|Calculates the interest rate resulting from the profit (return) of an investment.|
SHEET|XCBq6|SC_OPCODE_SHEET|Returns the internal sheet number of a reference or a string.|AaBTL|HID_FUNC_TABELLE|Returns the sheet number of a reference or a string representing a sheet name. If you do not enter any parameters, the result is the sheet number of the spreadsheet containing the formula.|
ROW|qS7J5|SC_OPCODE_ROW|Defines the internal row number of a reference.|XWAfz|HID_FUNC_ZEILE|Returns the row number of a cell reference. If the reference is a cell, it returns the row number of the cell. If the reference is a cell range, it returns the corresponding row numbers in a one-column Array if the formula is entered as an array formula. If the ROW function with a range reference is not used in an array formula, only the row number of the first range cell will be returned.|
COLUMN|cnoDG|SC_OPCODE_COLUMN|Returns the internal column number of a reference.|6ewCD|HID_FUNC_SPALTE|Returns the column number of a cell reference. If the reference is a cell the column number of the cell is returned; if the parameter is a cell area, the corresponding column numbers are returned in a single-row array if the formula is entered as an array formula. If the COLUMN function with an area reference parameter is not used for an array formula, only the column number of the first cell within the area is determined.|
SHEETS|iu2PC|SC_OPCODE_SHEETS|Returns the number of sheets of a given reference. If no parameter has been entered, the total number of sheets in the document is returned.|ENSNf|HID_FUNC_TABELLEN|Determines the number of sheets in a reference. If you do not enter any parameters, it returns the number of sheets in the current document.|
ROWS|GE2Gd|SC_OPCODE_ROWS|Returns the number of rows in a reference or array.|PudH2|HID_FUNC_ZEILEN|Returns the number of rows in a reference or array.|
COLUMNS|gqpUo|SC_OPCODE_COLUMNS|Returns the number of columns in an array or reference.|BbezW|HID_FUNC_SPALTEN|Returns the number of columns in the given reference.|
PMT|vDBFD|SC_OPCODE_PMT|Regular payments. Returns the periodic payment of an annuity, based on regular payments and a fixed periodic interest rate.|Dq92z|HID_FUNC_RMZ|Returns the periodic payment for an annuity with constant interest rates.|
SLN|hX8Ym|SC_OPCODE_SLN|Calculates the linear depreciation per period.|PxFFB|HID_FUNC_LIA|Returns the straight-line depreciation of an asset for one period. The amount of the depreciation is constant during the depreciation period.|
DURATION|dWbXN|SC_OPCODE_DURATION|Duration. Calculates the number of periods required by an investment to attain the desired value.|qNyVY|HID_FUNC_LAUFZEIT|Calculates the number of periods required by an investment to attain the desired value.|
VDB|J6MCA|SC_OPCODE_VBD|Variable declining balance. Returns the declining balance depreciation for a particular period.|TFzZ7|HID_FUNC_VDB|Returns the depreciation of an asset for a specified or partial period using a variable declining balance method.|
DB|qEGVA|SC_OPCODE_DB|Returns the real depreciation of an asset for a specified period using the fixed-declining balance method.|75CYS|HID_FUNC_GDA2|Returns the depreciation of an asset for a specified period using the fixed-declining balance method.This form of depreciation is used if you want to get a higher depreciation value at the beginning of the depreciation (as opposed to linear depreciation). The depreciation value is reduced with every depreciation period by the depreciation already deducted from the initial cost.|
DDB|2NiJm|SC_OPCODE_DDB|Calculates the depreciation of an asset for a specific period using the double-declining balance method or declining balance factor.|7fgyK|HID_FUNC_GDA|Returns the depreciation of an asset for a specified period using the arithmetic-declining method.Use this form of depreciation if you require a higher initial depreciation value as opposed to linear depreciation. The depreciation value gets less with each period and is usually used for assets whose value loss is higher shortly after purchase (for example, vehicles, computers). Please note that the book value will never reach zero under this calculation type.|
SYD|XJJxD|SC_OPCODE_SYD|Calculates the arithmetically declining value of an asset (depreciation) for a specified period.|yo8u2|HID_FUNC_DIA|Returns the arithmetic-declining depreciation rate.Use this function to calculate the depreciation amount for one period of the total depreciation span of an object. Arithmetic declining depreciation reduces the depreciation amount from period to period by a fixed sum.|
PV|iDXWU|SC_OPCODE_PV|Present value. Calculates the present value of an investment.|RyAQv|HID_FUNC_BW|Returns the present value of an investment resulting from a series of regular payments.Use this function to calculate the amount of money needed to be invested at a fixed rate today, to receive a specific amount, an annuity, over a specified number of periods. You can also determine how much money is to remain after the elapse of the period. Specify as well if the amount is to be paid out at the beginning or at the end of each period.Enter these values either as numbers, expressions or references. If, for example, interest is paid annually at 8%, but you want to use month as your period, enter 8%/12 under Rate and %PRODUCTNAME Calc with automatically calculate the correct factor.|
PERMUTATIONA|MGS6C|SC_OPCODE_PERMUTATION_A|Returns the number of permutations for a given number of objects (repetition allowed).|qmDVC|HID_FUNC_VARIATIONEN2|Returns the number of permutations for a given number of objects (repetition allowed).|
PERMUT|2YtiP|SC_OPCODE_PERMUT|Returns the number of permutations for a given number of elements without repetition.|BZCuj|HID_FUNC_VARIATIONEN|Returns the number of permutations for a given number of objects.|
COMBINA|J48iK|SC_OPCODE_COMBIN_A|Calculates the number of combinations of elements including repetition.|mPP3c|HID_FUNC_KOMBINATIONEN2|Returns the number of combinations of a subset of items including repetitions.|
COMBIN|TBNEU|SC_OPCODE_COMBIN|Calculates the number of combinations for elements without repetition.|odb62|HID_FUNC_KOMBINATIONEN|Returns the number of combinations for elements without repetition.|
POISSON.DIST|MSB43|SC_OPCODE_POISSON_DIST_MS|Returns the Poisson distribution.|Wghve|HID_FUNC_POISSON_DIST_MS|Returns the Poisson distribution.|
POISSON|sRGfk|SC_OPCODE_POISSON_DIST|Returns the Poisson distribution.|pcFqE|HID_FUNC_POISSON|Returns the Poisson distribution.|
BINOM.DIST|vuyAB|SC_OPCODE_BINOM_DIST_MS|Values of the binomial distribution.|fDSB9|HID_FUNC_BINOM_DIST_MS|Returns the individual term binomial distribution probability.|
BINOMDIST|Pjcki|SC_OPCODE_BINOM_DIST|Values of the binomial distribution.|ntGe3|HID_FUNC_BINOMVERT|Returns the individual term binomial distribution probability.|
EXPON.DIST|wPEE8|SC_OPCODE_EXP_DIST_MS|Values of the exponential distribution.|scD8c|HID_FUNC_EXP_DIST_MS|Returns the exponential distribution.|
EXPONDIST|ESWiB|SC_OPCODE_EXP_DIST|Values of the exponential distribution.|CF96U|HID_FUNC_EXPONVERT|Returns the exponential distribution.|
NORM.DIST|ASgWk|SC_OPCODE_NORM_DIST_MS|Values of the normal distribution.|zAgNx|HID_FUNC_NORMDIST_MS|Returns the density function or the normal cumulative distribution.|
NORMDIST|7FGSp|SC_OPCODE_NORM_DIST|Values of the normal distribution.|WN45x|HID_FUNC_NORMVERT|Returns the density function or the normal cumulative distribution.|
B|SACzY|SC_OPCODE_B|Returns the probability of a trial result using binomial distribution.|n4Rdd|HID_FUNC_B|Returns the probability of a sample with binomial distribution.|
STDEV.S|BU3qj|SC_OPCODE_ST_DEV_S|Calculates the standard deviation based on a sample.|HHWB2|HID_FUNC_ST_DEV_S|Calculates the standard deviation based on sample of the population.|
STDEV.P|PVFaN|SC_OPCODE_ST_DEV_P_MS|Calculates the standard deviation based on the entire population.|vyErB|HID_FUNC_ST_DEV_P_MS|Calculates the standard deviation based on the entire population.|
STDEVPA|GHsGr|SC_OPCODE_ST_DEV_P_A|Returns the standard deviation based on the entire population. Text is evaluated as zero.|9yQAY|HID_FUNC_STABWNA|Calculates the standard deviation based on the entire population.|
STDEVP|5FW4x|SC_OPCODE_ST_DEV_P|Calculates the standard deviation based on the entire population.|CFM3p|HID_FUNC_STABWN|Calculates the standard deviation based on the entire population.|
STDEVA|bABCw|SC_OPCODE_ST_DEV_A|Returns the standard deviation based on a sample. Text is evaluated as zero.|gE9PG|HID_FUNC_STABWA|Calculates the standard deviation of an estimation based on a sample.|
STDEV|iAycZ|SC_OPCODE_ST_DEV|Calculates the standard deviation based on a sample.|VXv5W|HID_FUNC_STABW|Estimates the standard deviation based on a sample.|
VAR.S|4p9A5|SC_OPCODE_VAR_S|Calculates the variance based on a sample.|3qmyn|HID_FUNC_VAR_S|Estimates the variance based on a sample.|
VAR.P|e4dLQ|SC_OPCODE_VAR_P_MS|Calculates variance based on the entire population.|VAdCJ|HID_FUNC_VAR_P_MS|Calculates a variance based on the entire population.|
VARPA|HrE2s|SC_OPCODE_VAR_P_A|Returns the variance based on the entire population. Text is evaluated as zero.|RDhTQ|HID_FUNC_VARIANZENA|Calculates the variance based on the entire population. The value of text is 0.|
VARP|NRpd8|SC_OPCODE_VAR_P|Calculates variance based on the entire population.|6QDSX|HID_FUNC_VARIANZEN|Calculates a variance based on the entire population.|
VARA|6ios3|SC_OPCODE_VAR_A|Returns the variance based on a sample. Text is evaluated as zero.|B54Yr|HID_FUNC_VARIANZA|Estimates a variance based on a sample. The value of text is 0.|
VAR|HCvpt|SC_OPCODE_VAR|Calculates the variance based on a sample.|jmVEj|HID_FUNC_VARIANZ|Estimates the variance based on a sample.|
ISPMT|Wc3DB|SC_OPCODE_ISPMT|Returns the amount of interest for constant amortization rates.|EJUDM|HID_FUNC_ISPMT|Calculates the level of interest for unchanged amortization installments.|
MIRR|AEjoW|SC_OPCODE_MIRR|Returns the modified internal rate of return for a series of investments.|mkDkF|HID_FUNC_QIKV|Calculates the modified internal rate of return of a series of investments.|
IRR|hwCoX|SC_OPCODE_IRR|Returns the actuarial rate of interest of an investment excluding costs or profits.|49dji|HID_FUNC_IKV|Calculates the internal rate of return for an investment. The values represent cash flow values at regular intervals, at least one value must be negative (payments), and at least one value must be positive (income).|
NPV|6wRqA|SC_OPCODE_NPV|Net present value. Calculates the net present value of an investment based on a series of periodic payments and a discount rate.|2aUFC|HID_FUNC_NBW|Returns the present value of an investment based on a series of periodic cash flows and a discount rate. To get the net present value, subtract the cost of the project (the initial cash flow at time zero) from the returned value.|
COUNTA|rCC8N|SC_OPCODE_COUNT_2|Counts how many values are in the list of arguments.|HXCpE|HID_FUNC_ANZAHL2|Counts how many values are in the list of arguments. Text entries are also counted, even when they contain an empty string of length 0. If an argument is an array or reference, empty cells within the array or reference are ignored.UFI: fix to #i35888#|
COUNT|gnDKM|SC_OPCODE_COUNT|Counts how many numbers are in the list of arguments.|Aqs5H|HID_FUNC_ANZAHL|Counts how many numbers are in the list of arguments. Text entries are ignored.|
AVERAGEA|sLQ9c|SC_OPCODE_AVERAGE_A|Returns the average value for a sample. Text is evaluated as zero.|TzEY7|HID_FUNC_MITTELWERTA|Returns the average of the arguments. The value of a text is 0.|
AVERAGE|SGaxB|SC_OPCODE_AVERAGE|Returns the average of a sample.|ACAWo|HID_FUNC_MITTELWERT|Returns the average of the arguments.|
PRODUCT|hbjVH|SC_OPCODE_PRODUCT|Multiplies the arguments.|CgRzr|HID_FUNC_PRODUKT|Multiplies all the numbers given as arguments and returns the product.|
SUM|z3v8h|SC_OPCODE_SUM|Returns the sum of all arguments.|YEi5V|HID_FUNC_SUMME|Adds all the numbers in a range of cells.|
MAXA|7FDpy|SC_OPCODE_MAX_A|Returns the maximum value in a list of arguments. Text is evaluated as Zero.|tdkda|HID_FUNC_MAXA|Returns the maximum value in a list of arguments. In opposite to MAX, here you can enter text. The value of the text is 0.The functions MINA() and MAXA() return 0 if no value (numeric or text) and no error was encountered.|
MAX|4KMoz|SC_OPCODE_MAX|Returns the maximum value in a list of arguments.|4LCmn|HID_FUNC_MAX|Returns the maximum value in a list of arguments.Returns 0 if no numeric value and no error was encountered in the cell range(s) passed as cell reference(s). Text cells are ignored by MIN() and MAX(). The functions MINA() and MAXA() return 0 if no value (numeric or text) and no error was encountered. Passing a literal string argument to MIN() or MAX(), e.g. MIN("string"), still results in an error.|
MINA|r4Mtc|SC_OPCODE_MIN_A|Returns the smallest value in a list of arguments. Text is evaluated as zero.|PjkQk|HID_FUNC_MINA|Returns the minimum value in a list of arguments. Here you can also enter text. The value of the text is 0.The functions MINA() and MAXA() return 0 if no value (numeric or text) and no error was encountered.|
